seat,bioguide,party,name,BLUF
MI-6,D000624,D,Debbie Dingell,"Michigan native who successfully ran for her retiring husband's seat, following 30 years at General Motors; passionate about MI's environment, health care and manufacturing jobs "
MI-7,B001321,R,Tom Barrett,"Former state senator and veteran, Barrett flipped Michigan's 7th congressional district in the 2024 election cycle"
MI-8,M001237,D,Kristen McDonald Rivet,"Former Michigan state senator who prioritized reducing life expenses for middle class families, McDonald Rivet joined Congress in 2025"
MI-9,M001136,R,Lisa McClain,"A business executive and political newcomer, McClain's platform emphasized deregulation and pro-business policies"
MI-10,J000307,R,John James,"An army veteran and president of a Detroit-based supply chain company, James ran for the US House on a platform of free market economic policies "
MI-11,S001215,D,Haley Stevens,Michigan native who has dedicated her career to protecting the auto manufacturing industry; flipped a traditionally Republican seat in 2018 with a platform promising to reinvigorate manufacturing and establish universal health care
MI-12,T000481,D,Rashida Tlaib,"Former state politician, attorney and activist, Tlaib advocates for progressive policies that seek to support and protect vulnerable citizens "
MI-13,T000488,D,Shri Thanedar,"Entrepreneur, scientist, and state legislator who became a self-made millionaire through the chemical industry, Thanedar ran for Congress on a progressive platform in a Detroit-based district "
MN-1,F000475,R,Brad Finstad,"A former USDA official who has dedicated his career to advancing the interests of rural farmers in Minnesota, Finstad will vie to retain his seat in Congress this November"
MN-2,C001119,D,Angie Craig,Former hospital executive who was elected to a long-held Republican seat in the Minneapolis suburbs on a moderate policy platform
MN-3,M001234,D,Kelly Morrison,"Physician and former state senator, Morrison is running to represent Minnesota's 3rd Congressional District"
MN-4,M001143,D,Betty McCollum,"A longtime member of Congress, McCollum advocates for human rights and uses her role as Appropriations subcommittee chair to allocate funding for environmental issues"
MN-5,O000173,D,Ilhan Omar,Somali-born activist who brings ambitious progressive vision for deeply personal issues of immigration and foreign policy reform
MN-6,E000294,R,Thomas Emmer,"Former lawyer and radio show co-host previously involved in state and local politics, Emmer is now seeking re-election in Minnesota's 6th congressional District"
MN-7,F000470,R,Michelle Fischbach,"Proud conservative Minnesotan with a long history of service in the state legislature, and a recent stint as lieutenant governor; campaigned for Congress on a platform of tax cuts, agricultural support, and conservative social issues"
MN-8,S001212,R,Peter Stauber,"A former police officer and local politician, Stauber was a rare Republican to flip a district in 2018; is an advocate for small businesses and his district's natural resource industries"
MO-1,B001324,D,Wesley Bell,St. Louis County Prosecuting Attorney Wesley Bell looks to bring his knowledge of the community to Congress
MO-2,W000812,R,Ann Wagner,"Veteran GOP activist and former ambassador to Luxembourg with small business background, Wagner's congressional career has been marked by a commitment to regulatory reform, national defense, and human trafficking prevention"
MO-3,O000177,R,Bob Onder,"Physician, attorney, and former state senator Bob Onder succeeded Blaine Luetkemeyer in Missouri's 3rd district"
MO-4,A000379,R,Mark Alford,"A former television anchor, Alford emphasizes election security, immigration, and conservative social issues"
MO-5,C001061,D,Emanuel Cleaver,"A pastor and former radio host, Cleaver is an influential member of the Democratic caucus; pushes for civil rights reform and affordable housing"
MO-6,G000546,R,Sam Graves,Sixth-generation family farmer who aims to empower small business owners and find long-term solutions to financing the nation's highways and airports
MO-7,B001316,R,Eric W. Burlison,"A tax consultant and software programmer who has spent over a decade in the Missouri legislature, Burlison emphasizes his strong conservative policy goals"
MO-8,S001195,R,Jason Smith,A family farmer and attorney who focuses on easing government regulations and the complex tax code to relieve burdens on rural life
MS-1,K000388,R,Trent Kelly,"Congressman and brigadier general in the Mississippi Army National Guard representing a rural, agricultural district; works to strengthen national security, support for veterans, and the local economy   "
MS-2,T000193,D,Bennie Thompson,"A civil rights-focused Democrat, Thompson has represented a Jackson-based district since 1993; as Homeland Security chair, he has focused on disaster preparedness and domestic terrorism "
MS-3,G000591,R,Michael Guest,"Former district attorney who leverages over two decades of experience in law enforcement to advocate for stronger national defense and border security, and improved health care"
MS-4,E000235,R,Mike Ezell,"A sheriff with a decades-long career in law enforcement, Ezell ran on a platform that emphasized public safety and social and fiscal conservatism"
MT-1,Z000018,R,Ryan Zinke,"Veteran and former secretary of the interior, Zinke defeated Democrat Monica Tranel to return to Congress as representative for Montana's new congressional district"
MT-2,D000634,R,Troy Downing,"Air Force veteran, businessman, and Montana official to replace Rep. Matt Rosendale in the 119th Congress"
NC-1,D000230,D,Donald Gene Davis,"Veteran, minister, academic, and former state and local official filling retiring Rep. GK Butterfield's (D-NC1) seat"
NC-2,R000305,D,Deborah Ross,"Attorney and former state legislator who advanced progressive reforms in ethics, juvenile justice, and voting rights in the NC General Assembly; campaign platform emphasized education investment and addressing economic inequality"
NC-3,M001210,R,Gregory Murphy,"Doctor and North Carolina native who has employed medical expertise in state and federal government; highlights free speech, foreign influence, and college affordability issues on the House Education and Labor committee"
NC-4,F000477,D,Valerie Foushee,Lifelong North Carolinian whose political career spans local and state positions; ran for Congress on a platform of social justice and education 
NC-5,F000450,R,Virginia Foxx,"Former university administrator who frequently cites experience overcoming poverty in rural Appalachia; applies view of limited government to health, labor, and education to help those who grew up in similar circumstances succeed "
NC-6,M001240,R,Addison McDowell,"Relatively unheard of before Trump's endorsement, McDowell was a healthcare lobbyist before seeking office in 2024"
NC-7,R000603,R,David Rouzer,Agriculture wonk with experience in the legislative and executive branches; shapes the GOP's livestock policy in the House and maintains strong conservative policy views
NC-8,H001102,R,Mark Harris,Lifetime pastor and North Carolina native returns to the political fray after controversial election
NC-9,H001067,R,Richard Hudson,"Lifelong political enthusiast and staffer-turned-congressman who addresses health and energy policy from a free-market perspective, while also advocating for veterans and active duty military"
NC-10,H001101,R,Pat Harrigan,Harrigan was a Green Beret and small firearms business owner before joining Congress in 2025
NC-11,E000246,R,Charles Marion Edwards,"A state senator, investor, and entrepreneur, Edwards defeated incumbent Rep. Madison Cawthorn (R-NC) and will represent western North Carolina in Congress "
NC-12,A000370,D,Alma Adams,"Professor of art and multicultural education who turned to politics to improve education, ensure wage equality, and expand health care in her district "
NC-13,K000405,R,Brad Knott,North Carolina native endorsed by former President Donald Trump for his experience in law enforcement
NC-14,M001236,R,Tim Moore,"North Carolina native, Moore brings years of political experience as North Carolina's House Speaker to Congress"
ND-AL,F000482,R,Julie Fedorchak,Lifelong North Dakotan elected to the state's sole House seat after extensive service as Senate staffer
NE-1,F000474,R,Mike Flood,"An attorney, local broadcasting executive, and former speaker of the Unicameral, Flood prioritized taxes, energy development, and social issues in his previous legislative tenure; continues to focus on revitalizing the northeast Nebraska economy"
NE-2,B001298,R,Don Bacon,"An Illinois native and decorated Air Force veteran, Bacon leverages his three decades of experience in the military to shape federal policy on military preparedness and foreign affairs"
NE-3,S001172,R,Adrian Smith,Strong fiscal and social conservative; advocates for policies favorable to his district's large agricultural sector as well as limited taxes
NH-1,P000614,D,Chris Pappas,"Career public servant and son of family business owners; viewed as a rising star in New Hampshire and the Democratic Caucus, known for his bipartisanism "
NH-2,G000604,D,Maggie Goodlander,"Deputy assistant attorney general and senior advisor to the White House during the Biden administration, Goodlander joined Congress in 2025"
NJ-1,N000188,D,Donald Norcross,"A former electrician and union president, Norcross is a leading voice for organized labor"
NJ-2,V000133,R,Jeff Van Drew,"Career dentist and public servant, Van Drew is known for joining the GOP after decades as a moderate Democrat"
NJ-3,C001136,D,Herb Conaway Jr.,Longtime physician and state assemblymember Conaway Jr. has been elected to represent New Jersey's 3rd Congressional District
NJ-4,S000522,R,Chris Smith,New Jersey representative who has spent his career advocating for international and domestic human rights as well as the rights of the unborn; remains moderate on issues such as the environment
NJ-5,G000583,D,Josh Gottheimer,"A New Jersey native with a public and private sector background in communications, Gottheimer has emerged as a leader of moderate House Democrats"
NJ-6,P000034,D,Frank Pallone,"Liberal representative with thirty-year tenure in Congress, Pallone uses his committee leadership to foster consensus, striking moderate approach on issues like the environment and health care "
NJ-7,K000398,R,Thomas Howard Kean Jr.,"Descending from a family of New Jersey-based politicians, Kean shifted his 22-year career in the state legislature to the national level in 2022"
NJ-8,M001226,D,Robert Menendez Jr.,An attorney in business law and the son of a former New Jersey senator elected to Congress in 2022
NJ-9,P000621,D,Nellie Pou,Longtime NJ General Assemblywoman and State Senator replaced Rep. Bill Pascrell
NJ-10,M001229,D,LaMonica McIver,"Former city council and public school official who prioritizes health care, infrastructure, and housing reform policy"
NJ-11,S001207,D,Mikie Sherrill,A retired Navy pilot who flipped a wealthy and consistently Republican district; focuses on veterans' issues and securing increased funding for New Jersey priorities 
NJ-12,W000822,D,Bonnie Watson Coleman,"Lifelong public servant with a solid record of advocating for issues related to women and families, health care, and disadvantaged populations"
NM-1,S001218,D,Melanie Stansbury,"A former science educator, freshman state representative, and expert on water supply and resiliency, Stansbury ran in the special election for New Mexico's 1st District on a progressive platform of equitable economic recovery and environmental protection"
NM-2,V000136,D,Gabe Vasquez,"An avid conservation enthusiast with a career in advocacy, Vasquez pushes for environmental protection, immigration reform, and economic development in his 2022 House campaign"
NM-3,L000273,D,Teresa Leger Fernandez,"Tribal sovereignty attorney and progressive activist who became the first Latina to represent New Mexico's 3rd district; aims to improve health care, protect the environment, and enact social change"
NV-1,T000468,D,Dina Titus,"Political science professor and former state Senate minority leader who has carried over her academic and legislative foci to Congress, advocating for Nevada priorities including nuclear safety, economic development, and transportation infrastructure"
NV-2,A000369,R,Mark Amodei,Small-government conservative passionate about transferring federal land management to local entities and utilizing the land as local communities see fit
NV-3,L000590,D,Susie Lee,"Philanthropist and community activist recognized for her bipartisanship, Lee draws on her non-profit background to push for education reforms and veterans' protections"
NV-4,H001066,D,Steven Horsford,Former state senator with personal and business ties to the Las Vegas hospitality industry; returned to Congress to focus on education and prescription drug affordability
NY-1,L000598,R,Nick LaLota,"Navy veteran who pivoted to local and state government work after his military service, LaLota won the election for New York's 1st District in November 2022"
NY-2,G000597,R,Andrew R. Garbarino,Former Long Island state Assemblyman turned national politico who focuses on Long Island-centric issues and pursues pro-business policy in Congress 
NY-3,S001201,D,Tom Suozzi,"A Long Island native with an extensive history of public service, Suozzi is looking to return as New York's 3rd congressional district representative in the February special election"
NY-4,G000602,D,Laura Gillen,"Pivoting from litigation attorney to town supervisor, Gillen aims to serve her community while pursuing federal initiatives pertaining to abortion and gun control "
NY-5,M001137,D,Gregory Meeks,Entrenched Queens Democratic Party boss with a centrist policy record; self-declared capitalist seeks to bring disadvantaged people into the economic system without fundamental overhauls sought by more liberal colleagues
NY-6,M001188,D,Grace Meng,Longtime public advocate who served in NY state assembly and as a public interest attorney; focused on giving voice to the Asian American community and families in government
NY-7,V000081,D,Nydia Velazquez,"First Puerto Rican woman elected to the U.S. House who aims to empower working families and minorities through equitable small business, health, and housing reforms "
NY-8,J000294,D,Hakeem Jeffries,Charismatic legislator passionate about social and economic justice; known for his speaking skills and pragmatism that renders him a key House team builder
NY-9,C001067,D,Yvette Clarke,"A New York lawmaker from a political family, Clark focuses on providing opportunities for the Caribbean community, particularly in tech and the media"
NY-10,G000599,D,Dan Goldman,"After rising to national prominence for his work on President Trump's first impeachment, Goldman emphasized the importance of preserving democracy during his first House campaign"
NY-11,M000317,R,Nicole Malliotakis,"Lifelong Staten Island resident and daughter of Cuban and Greek immigrants, Malliotakis is considered a rising star in the Republican Party; moderate whose policies sometimes break with GOP sensibilities"
NY-12,N000002,D,Jerry Nadler,Nadler's deep roots in Brooklyn and four decades in public service have shaped his passion for supporting the working class through progressive policy
NY-13,E000297,D,Adriano Espaillat,"A longtime community advocate focused on substance abuse and immigration, he transitioned into politics and gained notoriety for challenging incumbents both at the state and federal level"
NY-14,O000172,D,Alexandria Ocasio-Cortez,Political outsider who rose to prominence through a platform of progressive ideas; Ocasio-Cortez is considered by many to embody millennials' and Gen Z's political discontent and desire for major policy reform
NY-15,T000486,D,Ritchie Torres,"NYC councilman and housing policy expert advocating for progressive reforms; served as the chairman of the Public Housing and Oversight committee on the council, prioritizing tenant rights, LGBTQ+ rights, racial justice, and anti-corruption measures"
NY-16,L000606,D,George Latimer,Lifelong Westchester County resident and legislator eyeing New York's 16th House District
NY-17,L000599,R,Michael Lawler,"A former campaign consultant, Lawler successfully flipped both a state legislative seat in 2020 and a congressional House seat in 2022"
NY-18,R000579,D,Pat Ryan,"A veteran and former local government official, Ryan has focused on veterans' issues in Congress since his special election victory in New York's Middle Hudson Valley district"
NY-19,R000622,D,Josh Riley,"A lifelong New Yorker, Riley focuses on legislating to limit corporate greed and emphasizes creating equal economic opportunity; his progressive beliefs gained him the support of Democratic leaders"
NY-20,T000469,D,Paul Tonko,"Representative with a substantive background in energy, Tonko is a fixture of New York politics as an assemblyman and state administrator"
NY-21,S001196,R,Elise Stefanik,"An upstate New York native who came to Congress with White House and presidential campaign experience, Stefanik has focused on education, trade, and military issues and risen quickly through the GOP's leadership ranks "
NY-22,M001231,D,John Mannion,"Lifelong Central New Yorker and experienced educator, state Sen. John Mannion is running to represent New York's 22nd Congressional District"
NY-23,L000600,R,Nick Langworthy,"A southern New York native, Langworthy is a longtime voice in the state Republican Party who won the House seat for New York's 23rd District in 2022"
NY-24,T000478,R,Claudia Tenney,"Local media executive who built a solidly conservative record in the New York General Assembly; after losing in 2018, defeated her rival Brindisi in 2020 to return to Congress"
NY-25,M001206,D,Joseph Morelle,Brings extensive local and state level experience while retaining strong local ties in upstate New York; pursues policies to provide educational opportunities and improve constituents' financial stability
NY-26,K000402,D,Tim Kennedy,"Experienced New York state legislator, Tim Kennedy defeated Gary Dickson (R) in a special election to replace the retiring Brian Higgins in New York's 26th congressional district"
OH-1,L000601,D,Greg Landsman,"A public servant, children's advocate, and former city council member, Landsman aims to represent Ohio's 1st District with families, the economy, and health equity at the forefront"
OH-2,T000490,R,David Taylor,"Former prosecutor, current concrete contractor, and lifelong Ohioan hopes to push taxes down and lift America's energy sector up"
OH-3,B001281,D,Joyce Beatty,"Veteran lawmaker with liberal and business bona fides, Beatty is the progressive founder of Civility Caucus and broadly aligns with the Democratic left-wing on policy but differs in approach; seeks to bring business community on board with incremental change "
OH-4,J000289,R,Jim Jordan,Freedom Caucus founding chairman and fierce defender of President Trump who preaches fiscal discipline through tax cuts and a balanced budget 
OH-5,L000566,R,Bob Latta,"Attorney and former state legislator passionate about emerging technology and broadband access; in over a decade in Congress, Latta has prioritized tech, clean water, and health care"
OH-6,R000619,R,Michael Rulli,Ohio state senator and businessman won special election to represent Ohio's 6th Congressional District
OH-7,M001222,R,Max Miller,"The descendant of a wealthy and politically powerful Cleveland real estate family, Miller is a veteran of both Trump campaigns and the White House; running to represent Ohio's 7th Congressional District with Trump's support"
OH-8,D000626,R,Warren Davidson,"An entrepreneur and former Army Ranger representing southwestern Ohio, Davidson prioritizes federal spending, financial reform, and trade through a small-government lens"
OH-9,K000009,D,Marcy Kaptur,"Former urban planner and career policymaker, Kaptur has spent nearly four decades representing the interests of Ohioans with a focus on military and infrastructure issues "
OH-10,T000463,R,Mike Turner,"A former mayor with almost two decades of experience representing Ohio in Congress, Turner has emerged as an influential voice on defense issues and the military budget"
OH-11,B001313,D,Shontel Brown,"Lifelong northeast Ohio resident who has risen through the ranks of local government and Democratic politics; successfully captured safe Democratic seat running on messages of unity, justice, and shared vision with the Biden administration"
OH-12,B001306,R,Troy Balderson,"Family farmer and small businessman with a decade of experience in state politics; now in Congress, Balderson focuses on growing the state's signature agriculture and manufacturing industries while serving the needs of rural communities"
OH-13,S001223,D,Emilia Sykes,"Part of an Ohio political dynasty, Sykes became a leader in the Ohio state House by her early thirties; in 2021, she stepped down as Democratic leader to focus on her House bid in Ohio's competitive 13th District "
OH-14,J000295,R,Dave Joyce,"Career criminal prosecutor known for bipartisan outreach on health care in Congress; uses seat on Appropriations Committee to advocate for local watershed protections, including The Great Lakes and nearby water resources "
OH-15,C001126,R,Mike Carey,"An Ohio native and former Army National Guard officer with over two decades of experience as an executive in the energy industry, Carey promotes an 'America First' platform focused on fiscal conservatism"
OK-1,H001082,R,Kevin Hern,A long-time business person and McDonalds franchise owner who promotes small business growth and a balanced budget
OK-2,B001317,R,Josh Brecheen,"A business owner, horse trainer, and former state senator, Brecheen promotes limited government and conservative policies"
OK-3,L000491,R,Frank Lucas,"Lucas works across the aisle to protect Oklahoman interests in farming, energy, and aerospace"
OK-4,C001053,R,Tom Cole,"A Native Oklahoman and proud Chickasaw member, Cole has a diverse political career in Congress, state government, and Republican leadership"
OK-5,B000740,R,Stephanie Bice,Former state senator with business development background enters third term in Congress 
OR-1,B001278,D,Suzanne Bonamici,"An Oregon consumer rights attorney, Bonamici works to strengthen public education and combat climate change to improve working families' lives in her coastal district"
OR-2,B000668,R,Cliff Bentz,"A lawyer, rancher, and former state legislator, Bentz brings his legal expertise to Congress to shape federal policy on issues including natural resource development and health care"
OR-3,D000635,D,Maxine Dexter,"Longtime physician and experienced state legislator, Dexter prioritizes improving the quality of living for all and caring for those in her community"
OR-4,H001094,D,Val Hoyle,"Former state legislative leader, advocate, and labor policymaker, Hoyle is motivated to pass progressive reforms during her second term in Congress "
OR-5,B001326,D,Janelle Bynum,"Experienced state legislator, Bynum is passionate about creating a better future for upcoming generations"
OR-6,S001226,D,Andrea Salinas,"A progressive state legislator known for labor, climate, and reproductive rights advocacy, Salinas was reelected to represent Oregon's 6th Congressional District"
PA-1,F000466,R,Brian Fitzpatrick,"A homeland security expert and native Pennsylvanian, Fitzpatrick was the only Philadelphia Republican to survive a Democratic boon in 2018, campaigning on moderate policies and bipartisanship"
PA-2,B001296,D,Brendan Boyle,"Philadelphian raised in a blue-collar family, Boyle is passionate about accessible, affordable education and advocating for the working class"
PA-3,E000296,D,Dwight Evans,"Popular state leader elected to the House by a majority Black Democratic district; focuses on crime, hunger, education, and small businesses"
PA-4,D000631,D,Madeleine Dean,"Freshman representative with diverse experiences in law, education and state government; passionate about gun control, clean water, and women's rights"
PA-5,S001205,D,Mary Scanlon,"Legal expert passionate about child advocacy and civil liberties, Scanlon continues to push for children and families in Congress by protecting voters rights and combating gun violence "
PA-6,H001085,D,Chrissy Houlahan,"Air Force veteran and first female representative for Pennsylvania's 6th district; dedicated her career to addressing educational inequity, the role of technology in national security, and veterans' issues"
PA-7,M001230,R,Ryan E. Mackenzie,Freshman Congressional member and experienced state legislator who has spent most of his life in the Lehigh Valley; prioritizes conservative fiscal and immigration policies
PA-8,B001327,R,Rob Bresnahan Jr.,Northeastern Pennsylvania native and longtime businessman flipped a hotly contested in 2024
PA-9,M001204,R,Daniel Meuser,"A businessman and former secretary of revenue for the state of Pennsylvania, Meuser prioritizes fiscal responsibility, domestic energy production, and veterans issues in Congress"
PA-10,P000605,R,Scott Perry,"A National Guard veteran, businessman, and Freedom Caucus conservative, Perry focuses on foreign relations, health care reform, and congressional oversight"
PA-11,S001199,R,Lloyd Smucker,Lifelong resident of southeastern Pennsylvania and small business owner; leverages business background and leadership on subcommittee focused on higher education to push for workforce development and help small businesses provide health care to workers
PA-12,L000602,D,Summer L. Lee,"A lifelong western Pennsylvania resident, Lee is an organizer-turned-progressive politician who campaigned to represent Pennsylvania's 12th Congressional District"
PA-13,J000302,R,John Joyce,Lifelong Pennsylvanian and Iraq War veteran with a background in dermatology
PA-14,R000610,R,Guy Reschenthaler,"A former member of the US Navy Judge Advocate General Corps who later served in the state legislature, Reschenthaler promotes national security, veterans' affairs, and support for senior citizens in the House "
PA-15,T000467,R,Glenn Thompson,"Former health care administrator, Thompson's tenure on the House Agriculture Committee provides him influence on rural development; also focuses on technical education and domestic energy production"
PA-16,K000376,R,Mike Kelly,Auto dealer and former football player with a strong interest in economic policy; leads on tax issues through his prominent role on the Ways and Means committee 
PA-17,D000530,D,Chris Deluzio,"Veteran, attorney, and cyber policy-focused academic competing for a Pittsburgh-based swing seat in Congress; campaign focuses on labor and economic issues"
PR-AL,H001103,D,,
RI-1,A000380,D,Gabe Amo,"A Rhode Island native, Amo has held multiple White House positions for two separate Democratic administrations prior to his congressional bid"
RI-2,M001223,D,Seth Magaziner,A Rhode Island native and state general treasurer seeking to bring financial management experience to Congress to support renewable energy initiatives and health care protections
SC-1,M000194,R,Nancy Mace,"Journalist and small business owner who campaigned on a pro-Trump, pro-environment platform ambitiously rose through state politics, focusing on veterans' affairs, abortion policy, and conservation"
SC-2,W000795,R,Joe Wilson,Middle East policy specialist and GOP insider with nearly four decades in politics 
SC-3,B001325,R,Sheri Biggs,"Lieutenant Colonel and health care professional, Biggs is running to represent South Carolina's 3rd Congressional District"
SC-4,T000480,R,William Timmons,Former prosecutor and entrepreneur serving a conservative suburban district; leader among the 2018 GOP freshmen and advocate for government accountability
SC-5,N000190,R,Ralph Norman,"Former real estate developer with a decade of experience in state government; advocates for fiscal responsibility and government accountability, aligning with views of fellow Freedom Caucus members"
SC-6,C000537,D,Jim Clyburn,"Longtime politician with deep roots in civil rights activism motivated to dispel stereotypes about Black Americans, Clyburn is a key coalition-builder in the House Democratic Caucus and the central figure for South Carolina Democrats"
SC-7,F000478,R,Russell W. Fry,"Trump-endorsed challenger who campaigned on conservative social policy and election integrity rhetoric; leader in the state legislature who was instrumental in passing several major conservative bills on abortion, guns, and religious freedom"
SD-AL,J000301,R,Dusty Johnson,Self-described policy wonk who brings experience navigating the South Dakota telecom and regulatory landscape to shape legislation on agricultural and fiscal issues
TN-1,H001086,R,Diana Harshbarger,Pharmacist and Sunday school teacher representing a heavily conservative constituency in Northeastern Tennessee strongly advocates for religious freedom and conservative policies
TN-2,B001309,R,Tim Burchett,"Former small business owner and mayor of Tennessee's Knox County who had 24 years of experience in state and local elected positions prior to running for Congress; aims to balance the budget, advance business growth, and reduce substance abuse"
TN-3,F000459,R,Chuck Fleischmann,"A former Tennessee debt-collection attorney and small business owner, Fleischmann's decade in Congress has been marked by his commitment to reforming budgetary processes and supporting energy independence"
TN-4,D000616,R,Scott DesJarlais,Former physician representing rural district between Nashville and Chattanooga; touts agricultural work and prioritizes fiscal conservatism
TN-5,O000175,R,Andy Ogles,"A former fiscal policy specialist and advocate in the private sector, Ogles brings his expertise to elected office"
TN-6,R000612,R,John Rose,"An eighth-generation Tennessee farmer and technologically savvy business person, Rose successfully campaigned for Congress as a political outsider and vocal Trump supporter; advocates for rural policies on the Financial Services Committee"
TN-7,G000590,R,Mark Green,"A former Army special operations flight surgeon, emergency room physician, and health care company executive who brings his state-level government experience to shape federal policy on health care and national security"
TN-8,K000392,R,David Kustoff,"A former US attorney who became the second Jewish Republican in Congress, Kustoff focuses on financial reform, strengthened national security, and lower crime"
TN-9,C001068,D,Steve Cohen,Progressive lawyer passionate about advocating for racial justice as well as systemic government reforms
TX-1,M001224,R,Nathaniel Moran,Proud East Texan who has remained involved in his community through non-profit and local government work
TX-2,C001120,R,Daniel Crenshaw,"Decorated Navy SEAL turned Congressman who champions strong national defense, border security, and pragmatic energy solutions, while critiquing divisive far-right politics"
TX-3,S001224,R,Keith Self,Life-long public servant with over three decades of experience in the military and local government; has served as the US Representative for Texas's 3rd District since January 2023
TX-4,F000246,R,Patrick Fallon,"A former Air Force veteran, businessman, and state legislator, Fallon's work focuses on pushing restrictive immigration policies, promoting conservative social policies, and opposing tax increases"
TX-5,G000589,R,Lance Gooden,"A former insurance broker and state legislator from East Texas, Gooden supports financial reform, energy independence, and strengthened border security"
TX-6,E000071,R,Jake Ellzey,"Former Navy fighter pilot, local businessman, and one-term state representative elected to Congress on a platform focused on regional economic growth and support for veterans"
TX-7,F000468,D,Elizabeth Fletcher,Former litigation attorney representing a diverse Texan constituency; aims to promote economic growth and sustainability
TX-8,L000603,R,Morgan Luttrell,Retired Navy SEAL who worked with various nonprofits focused on veteran rehabilitation; champions border security and veterans' benefits
TX-9,G000553,D,Al Green,Former lawyer and long-time representative in a heavily Democratic district who has focused on equity and anti-discrimination efforts throughout his career
TX-10,M001157,R,Michael McCaul,Fourth-generation Texan employing his background in counterterrorism and federal prosecution to shape national security and foreign policy legislation
TX-11,P000048,R,August Pfluger,"A long-serving Air Force pilot and former National Security Council advisor, Pfluger advocates for protecting the Texas oil industry, achieving energy independence, and strengthening the southern border"
TX-12,G000601,R,Craig Goldman,Lifelong resident of Fort Worth who aims to bring state legislature and national security focus to Congress
TX-13,J000304,R,Ronny Jackson,"Former White House Navy physician for Presidents George W. Bush, Obama, and Trump is seen as a controversial hardline Republican figure in the house, advocating for Veterans benefits, agricultural protection, and defense legislation"
TX-14,W000814,R,Randy Weber,"An experienced politician and entrepreneur, Rep. Weber (R-TX-14) interests lie in energy development and natural disaster management and recovery"
TX-15,D000594,R,Monica De La Cruz,Former insurance agent and current owner of several small businesses; Cruz won the general election to represent Texas's 15th District in Congress in November 2022
TX-16,E000299,D,Veronica Escobar,"Democrat involved in El Paso politics for thirty years, has become a leading voice on immigration reform"
TX-17,S000250,R,Pete Sessions,"A veteran Texas congressman, Sessions has played a crucial role in GOP budget and health care reform efforts"
TX-18,,,,
TX-19,A000375,R,Jodey Arrington,Conservative West Texan with political leadership ambitions and strong ties to Texas political establishment
TX-20,C001091,D,Joaquin Castro,"Co-chair of the Congressional Hispanic Caucus Castro consistently pushes for progressive legislation and reforms in education, immigration, and health care"
TX-21,R000614,R,Chip Roy,"Republican attorney with an extensive career supporting and shaping influential Texan politicians' platforms, Roy now holds his own House seat where he pushes a conservative agenda"
TX-22,N000026,R,Troy Nehls,"A two-term sheriff of suburban Fort Bend County, Nehls was investigated by the House Ethics Committee for alleged campaign finance violations before breaking ties with the House Freedom Caucus"
TX-23,G000594,R,Tony Gonzales,"A moderate Republican and Navy veteran, Gonzales aims to bring opportunities to strengthen low-income communities and maintain a strong national defense"
TX-24,V000134,R,Beth Van Duyne,"Former two-term mayor, Van Duyne prioritizes immigration reform and energy security as Member of Ways and Means Committee"
TX-25,W000816,R,Roger Williams,"Small business owner and former professional baseball player turned government official, Williams works to decrease government regulation in the financial and health care sectors throughout his time in Congress"
TX-26,G000603,R,Brandon Gill,"Raised on a Texan ranch, Gill is a hard worker endorsed by Trump for creating a popular conservative news outlet"
TX-27,C001115,R,Michael Cloud,"Texas GOP activist and community religious leader who rose to Congress, emphasizes a commitment to a strengthened national defense, veterans' benefits, and market-driven healthcare"
TX-28,C001063,D,Henry Cuellar,Blue Dog Democrat focused on bipartisan legislation for immigration and trade; indicted over charges of bribery
TX-29,G000587,D,Sylvia Garcia,Longtime Houston public servant who prioritizes immigration issues; served as an impeachment manager in the 2020 Trump House trial
TX-30,C001130,D,Jasmine Crockett,"A civil rights attorney with a passion for social justice and civil rights, Crockett aims to expand her objectives while in the state House to the federal level"
TX-31,C001051,R,John Carter,"A former district judge and native Texan, Carter has worked to advance public safety, defense, and workforce development throughout nearly two decades in Congress "
TX-32,J000310,D,Julie Johnson,Experienced Texas state representative and attorney Julie Johnson will compete for retiring Rep. Colin Allred's (D-TX-32) House seat
TX-33,V000131,D,Marc Veasey,"A former congressional staffer and state representative, Veasey fights for enhanced voting rights and civic participation, better prospects for workers, and improved broadband access for constituents"
TX-34,G000581,D,Vicente Gonzalez,"South Texan attorney who works to secure veterans' rights, establish affordable educational options, and improve diplomatic and trade relations with Central America"
TX-35,C001131,D,Greg Casar,Former labor organizer who has pursued progressive reform in Austin; a self-described progressive champion
TX-36,B001291,R,Brian Babin,"Dentist and life-long resident of East Texas with four decades of involvement in local Republican politics; in Congress, pursues policies that support district priorities such as NASA, transportation, and economic development"
TX-37,D000399,D,Lloyd Doggett,"Dominant Democrat and respected voice in Texas politics for half a century; liberal stalwart persistent in his fight for affordable health care, transparency, and environmental protection"
TX-38,H001095,R,Wesley Hunt,Military veteran who pursued several advanced degrees after his service; maintained party line policy through first term as House Representative
UT-1,M001213,R,Blake Moore,"A former business development executive and former foreign service officer, Moore draws on his experience to advocate for improvements to defense, foreign policy, and land use "
UT-2,M001228,R,Celeste Maloy,"Land and water policy attorney who replaced her former boss, Rep. Chris Stewart, following his retirement in 2023"
UT-3,K000403,R,Mike Kennedy,Longtime conservative state lawmaker committed to building economic growth and limiting government oversight
